official_row_index,sample_id,class_name,split,relative_path,sha256,official_relative_path,official_sha256,face_detected,exclusion_reason
2,train_angry_000003,angry,train,train/angry/Training_10161559.jpg,0b30756121a6bacf2fb78c58e210f8cea05d8a9c4754a93a885a4fc4934a6690,train/angry/Training_10131352.jpg,7d95ea9b5675227952eaca2898cd12019f224ca9af14d757258a7ba7e9919b2c,False,mediapipe_no_detection
11,train_angry_000012,angry,train,train/angry/Training_10334355.jpg,12d4436d827d07e5ab80dd8fe95d1f2ca9475c75c1b93eede5cdcff6d395df48,train/angry/Training_10333072.jpg,6c978f652ff2b85d614c467a6e727348e799b6749e62fc4b3a6d396c5fe62084,False,mediapipe_no_detection
13,train_angry_000014,angry,train,train/angry/Training_10485618.jpg,b47a23869d76dfa2fa681339b6d78f227a66868d2da8335c073fbd0b47b02676,train/angry/Training_10422050.jpg,6d819711a6e99a01742eec3f8be8e8268a2a8ee763aa9479268e20739bf01eba,False,mediapipe_no_detection
24,train_angry_000025,angry,train,train/angry/Training_10967257.jpg,9f52e8dfe7453781a33340db4992b0fe8b6dc9dd4ef807150a25a41b17cdeb97,train/angry/Training_10882484.jpg,179f2bb7f2569aa2d8a16d6a008c84735fa96de170d1194c30c4d5f45d2b30ce,False,mediapipe_no_detection
25,train_angry_000026,angry,train,train/angry/Training_11102431.jpg,df59c3eac67a85832a027ad5b7550bb310f5b0e5699bc00cffb44658c294b248,train/angry/Training_10922970.jpg,f87907000c4427a66ac5e6154f0a089ef55c72ff538396ae6e68e14187c7633f,False,mediapipe_no_detection
49,train_angry_000050,angry,train,train/angry/Training_11713762.jpg,9b66e0532c9db4697ec31148d4fdf573dfaa4225eb4c125e5064a0fc3ea15b5e,train/angry/Training_11579481.jpg,d2ff761b7624d6bc971fff90caa9bd849c33847eb4cc97674392f0399396f73b,False,mediapipe_no_detection
63,train_angry_000064,angry,train,train/angry/Training_11983206.jpg,22925f19c6a56a81afba1275ebb1b9f697ffc7feb7cdd65735deb216f3f4a37e,train/angry/Training_11940623.jpg,f82e61e406ad032131c68254a50c5055959051eaf58afa20d9f6a16c7042516e,False,mediapipe_no_detection
70,train_angry_000071,angry,train,train/angry/Training_12091917.jpg,4620bdbd85d7728f99f39cd2677a5c8b9a40dde1b7ce378c9329397dbcfb08ef,train/angry/Training_12037449.jpg,0bd6c17259099aabe0afd1335fafa32a17dc68e5687fb87c571e2e3217c2fd1d,False,mediapipe_no_detection
75,train_angry_000076,angry,train,train/angry/Training_12172696.jpg,75c50bcb11af158200a6719880c6213207ef1bee5a16520b6f4c318faa2f8aa6,train/angry/Training_12148960.jpg,90531e68a8c7de1dff728b6457aa09dde2ce4af111914a212df6f77bd01d848a,False,mediapipe_no_detection
81,train_angry_000082,angry,train,train/angry/Training_12391352.jpg,e80659452d014254eef77c28674d9839efd5bf26911ca9a5a42335ce23e07dbb,train/angry/Training_12250673.jpg,2cb5dbc1ced9831e07c3856eed464a7a347ccd0d70e113308c939b720ba18d02,False,mediapipe_no_detection
108,train_angry_000109,angry,train,train/angry/Training_13282534.jpg,2fb75cf29e3aa0e0756830b530c03e90d3adfe113703f40db402f780f6488bf4,train/angry/Training_13145953.jpg,2723679e772b235a22b4fa77662a2a1719ee6a72bc0d19ae37eda5a3d1d14e13,False,mediapipe_no_detection
127,train_angry_000128,angry,train,train/angry/Training_13994952.jpg,b94b4b05e10820bed511e35aab886d72216699f62d46b3bdbbd9e11addee486c,train/angry/Training_13874420.jpg,b4754f019b71987f5f4d97603fd0d65d34669184c6790824430e9247d70e45d1,False,mediapipe_no_detection
135,train_angry_000136,angry,train,train/angry/Training_14151520.jpg,ef36828add9b37b2e2c35d1188f6da09b16bc75a8a8efdbd3934efe8a56e1b9e,train/angry/Training_14056996.jpg,7d29d85cf24a8a9df618f1e028fd4ae06c4ed756a3bc838733d7f95116745f88,False,mediapipe_no_detection
146,train_angry_000147,angry,train,train/angry/Training_14383356.jpg,b7da757d9d2d847ff80ea513b7ef0c18dfb5a8b9fe9a69fce681bdeba6264a58,train/angry/Training_14291798.jpg,be076f1dfbaec3b859c781580eb5939a087a3e1da7d5c8ae904ce3a1ecf61be2,False,mediapipe_no_detection
170,train_angry_000171,angry,train,train/angry/Training_14830141.jpg,66b9840ce7e1a337adf9d37881e52c230c9847d9be075183a8f438c124cdf3fb,train/angry/Training_14754797.jpg,3bee7b7516c5c2a2e8196aa487fc98d7dedcaafcb5060c8c5c737d2ff9b5b968,False,mediapipe_no_detection
175,train_angry_000176,angry,train,train/angry/Training_14918881.jpg,8bd6f4d7b6c6a884fef33b22128b682d8dc487f9f23451a6dec1768448bfc953,train/angry/Training_14830141.jpg,66b9840ce7e1a337adf9d37881e52c230c9847d9be075183a8f438c124cdf3fb,False,mediapipe_no_detection
179,train_angry_000180,angry,train,train/angry/Training_15058314.jpg,36eba47d34906d508ed0ac911f15fa5d043b8e6ff08a65def0bd33ad172e9a2b,train/angry/Training_14883276.jpg,69b3caffacd2fab941e7ea84fecb7dcf3db21244aae77c52c704dfd636132823,False,mediapipe_no_detection
196,train_angry_000197,angry,train,train/angry/Training_15483013.jpg,1c3f4d2dc992bf497074fdae686d484c90452da65d7c77d08909d61ff68de2c5,train/angry/Training_15361067.jpg,59afcf8d8f5cb95df40e768b24efc09d0f8905bd00a3b8d32fd31adea2cc9eca,False,mediapipe_no_detection
202,train_angry_000203,angry,train,train/angry/Training_15570158.jpg,ff350f07498f72d8777bf018e5417e983f9561f2f690076e71eccb02ee31dbe8,train/angry/Training_15483013.jpg,1c3f4d2dc992bf497074fdae686d484c90452da65d7c77d08909d61ff68de2c5,False,mediapipe_no_detection
